UNKNOWN(21030201)                'Белоруссия ФР Пирит (iikoFront)'            {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21030408)                'Resto.Front.Api.YandexPlugin (iikoFront)'   {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21030718)                'SumUpPlugin (IikoFront)'                    {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21030808)                'Spark130fPlugin (iikoFront)'                {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21031118)                'Connector for e-cashier Kiosk (iikoFront)'  {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21031201)                'VideonetConnector (winservice)'             {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21031301)                'Connector for SMS (iikoFront)'              {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21031508)                'HRSPlugin (iikoFront)'                      {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21031609)                'CustomerDisplayWebStart (Елисей)'           {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21031709)                'CustomerDisplayWebPro (Для ресторанов и сетей)' {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21031801)                'CustomerDisplayWebPlugin (iikoFront)'       {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21031901)                'CustomFR (iikoFront)'                       {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21032001)                'CashierNamePlugin (iikoFront)'              {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21032101)                'SparkPlugin'                                {2=[97 (2010-01-01, ..)]}
UNKNOWN(21032201)                'TremolFiscalRegisterPlugin (iikoFront)'     {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21032409)                'PromoList (iikoCard)'                       {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21032509)                'PromoTemplates (iikoCard)'                  {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21032609)                'PromoBuilder (iikoCard)'                    {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21032709)                'GuestList  (iikoCard)'                      {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21032809)                'ReportsDashboard (iikoCard)'                {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21032909)                'ReportsGuestsStat (iikoCard)'               {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21033009)                'ReportsPromoAcounts (iikoCard)'             {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21033109)                'ReportsRFM (iikoCard)'                      {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21033209)                'Wallet  (iikoCard)'                         {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21033309)                'WalletXT (iikoCard)'                        {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21033809)                'iikoWeb InternalOrders (iikoWeb)'           {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21033909)                'iikoWeb Mercury (iikoWeb)'                  {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21034018)                'OptomanyPlugin (iikoFront)'                 {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21034302)                'StoreHouse integration (StoreHouse integration)' {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21034401)                'Mongolian Fiscal Integration (iikoFronnt)'  {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21034701)                'CustomFiscalDriver'                         {2=[108 (2010-01-01, ..)]}
UNKNOWN(21034809)                'TIPS Configuration (iikoWeb)'               {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21034918)                'BonusBag (iikoFront)'                       {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21035009)                'CallCenterCloud (iikoWeb)'                  {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21035101)                'Механизм автообновления плагинов (iikoFront)' {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21035209)                'iikoWebStorage (iikoWeb)'                   {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21035309)                'iikoWebSchedule_employees (iikoWeb)'        {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21035409)                'iikoWebLiteStorage (iikoWeb)'               {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21035502)                'Антикризисная парковка (parking)'           {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21035609)                'Deliveroo integration (iikoWeb)'            {2=[9 (2020-07-15, 2020-12-03)]}
